service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
58042,1,1,0,1,1,0,0,20241230,20250328
56112,0,1,0,1,1,0,0,20241230,20250328
52354,1,1,1,1,1,0,0,20250106,20250328
50424,0,1,1,1,1,0,0,20250106,20250328
47337,0,1,1,0,0,0,0,20250106,20250328
46851,0,0,0,0,0,0,0,20250106,20250328
45470,0,0,0,0,0,0,0,20250106,20250327
37278,0,0,0,0,0,0,0,20250106,20250328
36918,0,1,0,0,0,0,0,20250106,20250328
16843,0,0,0,0,0,0,1,20250101,20250323
16506,0,0,0,0,0,0,1,20250105,20250323
15436,0,0,1,0,0,0,0,20250108,20250326
14913,0,0,0,0,0,0,1,20250101,20250323
14724,0,0,0,0,0,1,0,20250104,20250322
14576,0,0,0,0,0,0,1,20250105,20250323
13076,0,0,0,0,0,1,0,20250104,20250322
12794,0,0,0,0,0,1,0,20250104,20250322
10419,0,0,1,0,0,0,0,20250108,20250326
9573,0,0,0,0,0,0,0,20250108,20250326
6884,0,0,0,0,0,0,0,20250120,20250328
6025,1,1,1,1,1,0,0,20241230,20250103
5688,1,1,0,1,1,0,0,20241230,20250103
5503,0,0,0,0,0,0,0,20250120,20250221
5017,0,0,0,0,0,0,0,20250120,20250307
337,0,0,1,0,0,0,0,20250101,20250101
282,0,0,0,0,0,1,0,20250104,20250104
