Date,Precipitation (in),Max Temp (F),Min Temp (F),
2015-01-01,0.00,44,25,
2015-01-02,0.03,44,30,
2015-01-03,0.01,44,34,
2015-01-04,0.21,54,40,
2015-01-05,0.07,58,52,
2015-01-06,0.01,56,46,
2015-01-07,0.00,50,45,
2015-01-08,0.00,49,38,
2015-01-09,0.01,51,40,
2015-01-10,0.19,48,45,
2015-01-11,0.06,52,47,
2015-01-12,T,54,44,
2015-01-13,0.00,49,41,
2015-01-14,0.00,46,36,
2015-01-15,0.43,48,34,
2015-01-16,0.00,56,43,
2015-01-17,0.84,55,38,
2015-01-18,0.24,60,49,
2015-01-19,0.03,52,45,
2015-01-20,0.00,52,38,
2015-01-21,0.00,48,32,
2015-01-22,0.03,52,45,
2015-01-23,0.08,57,50,
2015-01-24,0.02,62,55,
2015-01-25,0.01,65,49,
2015-01-26,0.00,65,45,
2015-01-27,0.02,55,49,
2015-01-28,0.00,55,45,
2015-01-29,0.00,56,42,
2015-01-30,0.00,49,38,
2015-01-31,0.00,47,40,
2015-02-01,0.04,52,43,
2015-02-02,0.30,55,43,
2015-02-03,0.03,52,44,
2015-02-04,0.32,52,43,
2015-02-05,0.90,60,49,
2015-02-06,0.75,60,53,
2015-02-07,0.82,59,51,
2015-02-08,0.15,60,47,
2015-02-09,0.15,59,48,
2015-02-10,0.02,57,49,
2015-02-11,T,57,44,
2015-02-12,0.02,M,48,
2015-02-13,T,72,46,
2015-02-14,0.06,60,47,
2015-02-15,0.00,56,42,
2015-02-16,T,62,44,
2015-02-17,0.00,61,42,
2015-02-18,0.00,57,38,
2015-02-19,0.03,54,47,
2015-02-20,0.02,54,50,
2015-02-21,0.00,56,44,
2015-02-22,T,55,35,
2015-02-23,T,57,32,
2015-02-24,0.00,55,36,
2015-02-25,0.07,52,45,
2015-02-26,0.26,55,48,
2015-02-27,0.69,54,49,
2015-02-28,0.00,57,37,
2015-03-01,T,55,32,
2015-03-02,T,54,38,
2015-03-03,0.00,53,32,
2015-03-04,0.00,56,31,
2015-03-05,0.00,59,37,
2015-03-06,0.00,59,39,
2015-03-07,T,63,36,
2015-03-08,T,64,37,
2015-03-09,T,57,41,
2015-03-10,0.02,60,44,
2015-03-11,0.08,62,51,
2015-03-12,0.00,67,52,
2015-03-13,0.09,67,50,
2015-03-14,0.63,61,53,
2015-03-15,2.45,54,46,
2015-03-16,0.00,58,46,
2015-03-17,0.04,60,42,
2015-03-18,0.00,63,46,
2015-03-19,0.01,63,49,
2015-03-20,0.13,60,51,
2015-03-21,0.14,59,49,
2015-03-22,0.07,56,42,
2015-03-23,0.21,54,42,
2015-03-24,0.28,59,46,
2015-03-25,0.13,61,48,
2015-03-26,0.00,72,51,
2015-03-27,0.01,69,50,
2015-03-28,0.00,64,52,
2015-03-29,0.00,63,51,
2015-03-30,0.04,67,54,
2015-03-31,0.36,57,44,
2015-04-01,0.05,57,44,
2015-04-02,T,59,43,
2015-04-03,0.05,55,43,
2015-04-04,0.00,58,39,
2015-04-05,T,63,38,
2015-04-06,T,60,47,
2015-04-07,0.01,59,47,
2015-04-08,T,65,44,
2015-04-09,T,66,44,
2015-04-10,0.54,60,48,
2015-04-11,T,56,43,
2015-04-12,T,59,45,
2015-04-13,0.55,54,42,
2015-04-14,0.06,56,39,
2015-04-15,T,59,38,
2015-04-16,T,65,39,
2015-04-17,T,68,45,
2015-04-18,T,68,48,
2015-04-19,0.00,69,46,
2015-04-20,T,74,45,
2015-04-21,0.16,65,46,
2015-04-22,T,62,42,
2015-04-23,0.10,55,47,
2015-04-24,0.16,57,45,
2015-04-25,0.01,58,44,
2015-04-26,0.00,62,42,
2015-04-27,T,78,54,
2015-04-28,0.12,63,52,
2015-04-29,T,65,48,
2015-04-30,0.00,65,49,
2015-05-01,0.00,66,53,
2015-05-02,0.00,66,51,
2015-05-03,0.00,69,44,
2015-05-04,T,65,47,
2015-05-05,0.25,62,48,
2015-05-06,T,64,47,
2015-05-07,0.00,70,45,
2015-05-08,0.00,75,47,
2015-05-09,0.00,80,50,
2015-05-10,0.00,69,55,
2015-05-11,T,59,54,
2015-05-12,0.12,62,55,
2015-05-13,0.13,57,52,
2015-05-14,T,66,52,
2015-05-15,0.01,69,52,
2015-05-16,0.00,62,55,
2015-05-17,0.00,69,55,
2015-05-18,0.00,78,56,
2015-05-19,0.00,75,57,
2015-05-20,0.00,74,54,
2015-05-21,0.00,81,58,
2015-05-22,0.00,64,56,
2015-05-23,T,64,56,
2015-05-24,0.00,66,56,
2015-05-25,0.00,62,55,
2015-05-26,0.00,72,56,
2015-05-27,0.00,78,57,
2015-05-28,0.00,83,58,
2015-05-29,0.00,82,59,
2015-05-30,0.00,75,53,
2015-05-31,0.00,76,57,
2015-06-01,0.09,64,57,
2015-06-02,T,66,58,
2015-06-03,0.00,69,57,
2015-06-04,0.00,74,57,
2015-06-05,0.00,80,56,
2015-06-06,0.00,85,58,
2015-06-07,0.00,88,61,
2015-06-08,0.00,86,60,
2015-06-09,0.00,86,61,
2015-06-10,0.00,81,55,
2015-06-11,0.00,79,56,
2015-06-12,0.00,70,57,
2015-06-13,0.00,76,52,
2015-06-14,0.00,81,57,
2015-06-15,0.00,86,61,
2015-06-16,0.00,75,55,
2015-06-17,0.00,78,57,
2015-06-18,T,80,62,
2015-06-19,0.07,75,59,
2015-06-20,0.00,77,58,
2015-06-21,0.00,81,60,
2015-06-22,0.00,78,57,
2015-06-23,0.00,81,55,
2015-06-24,0.00,79,66,
2015-06-25,0.00,88,63,
2015-06-26,0.00,88,67,
2015-06-27,0.00,92,65,
2015-06-28,T,83,70,
2015-06-29,0.01,88,67,
2015-06-30,0.00,88,62,
2015-07-01,0.00,89,65,
2015-07-02,0.00,92,67,
2015-07-03,0.00,93,67,
2015-07-04,0.00,92,62,
2015-07-05,0.00,91,67,
2015-07-06,0.00,88,63,
2015-07-07,0.00,81,60,
2015-07-08,0.00,86,63,
2015-07-09,0.00,86,62,
2015-07-10,0.00,73,65,
2015-07-11,0.00,74,65,
2015-07-12,0.00,82,65,
2015-07-13,0.00,79,65,
2015-07-14,0.00,82,63,
2015-07-15,0.00,81,63,
2015-07-16,0.00,81,64,
2015-07-17,0.00,83,59,
2015-07-18,0.00,92,66,
2015-07-19,0.00,98,67,
2015-07-20,0.00,82,66,
2015-07-21,0.13,76,61,
2015-07-22,0.00,77,61,
2015-07-23,0.00,81,62,
2015-07-24,0.02,77,59,
2015-07-25,0.01,70,61,
2015-07-26,0.10,73,60,
2015-07-27,0.01,77,56,
2015-07-28,0.00,83,61,
2015-07-29,0.00,89,62,
2015-07-30,0.00,92,65,
2015-07-31,0.00,94,66,
2015-08-01,0.00,92,65,
2015-08-02,0.00,90,64,
2015-08-03,0.00,85,66,
2015-08-04,0.00,81,61,
2015-08-05,0.00,75,58,
2015-08-06,0.00,79,62,
2015-08-07,0.00,84,61,
2015-08-08,T,80,63,
2015-08-09,0.00,84,60,
2015-08-10,T,85,65,
2015-08-11,0.00,87,65,
2015-08-12,0.04,85,66,
2015-08-13,0.00,85,63,
2015-08-14,0.82,68,62,
2015-08-15,T,72,61,
2015-08-16,0.00,78,59,
2015-08-17,0.00,81,60,
2015-08-18,0.00,84,63,
2015-08-19,0.00,92,64,
2015-08-20,T,75,61,
2015-08-21,0.00,75,61,
2015-08-22,0.00,79,57,
2015-08-23,0.00,82,57,
2015-08-24,0.00,77,56,
2015-08-25,0.00,78,58,
2015-08-26,0.00,84,58,
2015-08-27,0.00,87,61,
2015-08-28,0.01,76,63,
2015-08-29,0.22,75,52,
2015-08-30,0.27,72,59,
2015-08-31,0.05,68,64,
2015-09-01,0.18,68,60,
2015-09-02,0.01,70,55,
2015-09-03,0.00,69,54,
2015-09-04,0.00,66,54,
2015-09-05,0.06,69,49,
2015-09-06,0.19,63,56,
2015-09-07,0.00,74,59,
2015-09-08,0.00,76,59,
2015-09-09,0.00,78,59,
2015-09-10,0.01,76,60,
2015-09-11,0.00,82,61,
2015-09-12,0.00,81,61,
2015-09-13,0.03,72,58,
2015-09-14,0.00,65,52,
2015-09-15,0.00,66,52,
2015-09-16,0.05,70,50,
2015-09-17,0.57,68,58,
2015-09-18,0.01,70,56,
2015-09-19,T,74,60,
2015-09-20,0.09,76,57,
2015-09-21,0.00,67,55,
2015-09-22,T,68,47,
2015-09-23,0.00,71,48,
2015-09-24,0.00,76,53,
2015-09-25,0.03,63,58,
2015-09-26,T,65,54,
2015-09-27,T,65,46,
2015-09-28,0.00,69,53,
2015-09-29,T,73,52,
2015-09-30,0.00,68,52,
2015-10-01,0.01,70,51,
2015-10-02,0.01,62,52,
2015-10-03,0.00,68,56,
2015-10-04,0.00,72,53,
2015-10-05,0.00,73,51,
2015-10-06,0.01,67,53,
2015-10-07,0.38,62,59,
2015-10-08,0.00,71,58,
2015-10-09,0.01,70,55,
2015-10-10,0.77,72,59,
2015-10-11,0.00,67,52,
2015-10-12,0.36,68,53,
2015-10-13,0.05,63,52,
2015-10-14,T,63,53,
2015-10-15,0.00,68,52,
2015-10-16,0.01,70,49,
2015-10-17,0.04,68,57,
2015-10-18,0.16,62,59,
2015-10-19,T,67,57,
2015-10-20,0.00,65,51,
2015-10-21,T,65,49,
2015-10-22,0.01,62,47,
2015-10-23,0.00,59,46,
2015-10-24,0.01,60,51,
2015-10-25,0.35,66,48,
2015-10-26,0.09,58,53,
2015-10-27,0.01,60,48,
2015-10-28,0.10,59,54,
2015-10-29,0.02,62,57,
2015-10-30,0.56,67,55,
2015-10-31,0.83,63,54,
2015-11-01,0.47,57,51,
2015-11-02,0.07,56,44,
2015-11-03,0.07,54,41,
2015-11-04,0.00,54,37,
2015-11-05,0.01,55,48,
2015-11-06,0.01,63,50,
2015-11-07,0.49,57,52,
2015-11-08,0.38,56,49,
2015-11-09,0.16,52,43,
2015-11-10,0.07,54,38,
2015-11-11,0.04,55,43,
2015-11-12,0.24,55,43,
2015-11-13,1.31,60,52,
2015-11-14,1.66,52,46,
2015-11-15,0.73,50,38,
2015-11-16,0.09,52,35,
2015-11-17,0.74,61,43,
2015-11-18,0.05,51,39,
2015-11-19,0.08,51,37,
2015-11-20,T,51,35,
2015-11-21,0.00,52,34,
2015-11-22,T,50,33,
2015-11-23,0.12,47,33,
2015-11-24,0.21,48,41,
2015-11-25,0.00,49,34,
2015-11-26,T,52,29,
2015-11-27,T,50,28,
2015-11-28,T,46,25,
2015-11-29,T,39,28,
2015-11-30,0.01,44,29,
2015-12-01,0.39,53,40,
2015-12-02,0.07,54,42,
2015-12-03,0.51,60,49,
2015-12-04,0.12,53,45,
2015-12-05,0.81,63,44,
2015-12-06,0.55,59,46,
2015-12-07,1.07,56,50,
2015-12-08,1.51,63,52,
2015-12-09,0.55,58,46,
2015-12-10,0.63,56,44,
