Estimates of Group Quarter Population for Census Tracts,,,,,,,,,,,,,,,,,,,,,,,,
"Washington State Office of Financial Management, Small Area Estimate Program (SAEP)",,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,
By using these data the user agrees that the Washington State Office of Financial Management shall not be liable for any activity involving these data with regard to lost profits,,,,,,,,,,,,,,,,,,,,,,,,
"or savings or any other consequential damages; or the fitness for use of the data for a particular purpose; or the installation of the data, its use, or the results obtained.",,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates are approximations, use these data with caution. The estimates in these tables are typically presented for very small areas. To increase statistical stability,",,,,,,,,,,,,,,,,,,,,,,,,
"we recommend that users aggregate small area populations into larger geographic units of about 4,300 people, the size of the average census tract. Some changes",,,,,,,,,,,,,,,,,,,,,,,,
to the 2020 census data were made to ensure reliability. This table includes the 2020 census data from the Public Law 94-171 and OFM’s adjusted 2020 figures,,,,,,,,,,,,,,,,,,,,,,,,
so users can compare the values. All estimates are based on OFM adjusted figures. See the SAEP User Guide for more information.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
County Name,State Code FIPS,County Code FIPS,Census Tract Code,Census Tract Code Complete,SAEP Version,Estimated Group Quarters Population 2010,Estimated Group Quarters Population 2011,Estimated Group Quarters Population 2012,Estimated Group Quarters Population 2013,Estimated Group Quarters Population 2014,Estimated Group Quarters Population 2015,Estimated Group Quarters Population 2016,Estimated Group Quarters Population 2017,Estimated Group Quarters Population 2018,Estimated Group Quarters Population 2019,2020 Census (P.L. 94-171) Group Quarters Population,OFM Adjusted Group Quarter Population 2020,Estimated Group Quarter Population 2021,Estimated Group Quarter Population 2022,Estimated Group Quarter Population 2023,Estimated Group Quarter Population 2024,Estimated Group Quarter Population 2025,Numeric Change in Group Quarters Population 2020 to 2025,Percent Change in GQ Population 2020 to 2025
Adams,53,001,950100,53001950100,"October 3, 2025",59,75,73,85,76,83,85,101,75,81,92,92,92,92,92,92,92,0,0.00%
Adams,53,001,950200,53001950200,"October 3, 2025",0,15,30,46,61,77,92,108,121,136,149,149,149,149,149,149,149,0,0.00%
Adams,53,001,950301,53001950301,"October 3, 2025",17,17,17,17,17,17,17,18,17,17,17,17,17,17,17,17,17,0,0.00%
Adams,53,001,950302,53001950302,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Adams,53,001,950303,53001950303,"October 3, 2025",12,14,16,19,21,23,25,28,29,31,33,33,33,33,33,33,33,0,0.00%
Adams,53,001,950400,53001950400,"October 3, 2025",74,72,65,59,58,58,57,56,61,68,51,51,46,60,50,55,68,17,33.33%
Adams,53,001,950500,53001950500,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Asotin,53,003,960100,53003960100,"October 3, 2025",0,1,3,4,5,7,8,9,10,12,13,13,13,13,13,13,13,0,0.00%
Asotin,53,003,960200,53003960200,"October 3, 2025",5,5,6,6,7,7,7,8,8,9,9,9,9,9,9,9,9,0,0.00%
Asotin,53,003,960300,53003960300,"October 3, 2025",47,46,44,43,42,40,38,36,35,33,32,32,32,32,32,32,32,0,0.00%
Asotin,53,003,960400,53003960400,"October 3, 2025",20,20,20,20,21,21,21,20,21,21,21,21,21,21,21,21,21,0,0.00%
Asotin,53,003,960500,53003960500,"October 3, 2025",87,77,84,85,115,108,115,116,130,139,149,149,138,139,142,147,147,-2,-1.34%
Asotin,53,003,960600,53003960600,"October 3, 2025",15,16,17,18,19,20,21,21,22,23,24,24,24,24,24,24,24,0,0.00%
Benton,53,005,010100,53005010100,"October 3, 2025",28,27,27,27,26,25,24,22,22,21,20,20,20,20,20,20,20,0,0.00%
