Estimates of Household Population for Census Tracts,,,,,,,,,,,,,,,,,,,,,,,,
"Washington State Office of Financial Management, Small Area Estimate Program (SAEP)",,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,
By using these data the user agrees that the Washington State Office of Financial Management shall not be liable for any activity involving these data with regard to lost profits,,,,,,,,,,,,,,,,,,,,,,,,
"or savings or any other consequential damages; or the fitness for use of the data for a particular purpose; or the installation of the data, its use, or the results obtained.",,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates are approximations, use these data with caution. The estimates in these tables are typically presented for very small areas. To increase statistical stability,",,,,,,,,,,,,,,,,,,,,,,,,
"we recommend that users aggregate small area populations into larger geographic units of about 4,300 people, the size of the average census tract. Some changes",,,,,,,,,,,,,,,,,,,,,,,,
to the 2020 census data were made to ensure reliability. This table includes the 2020 census data from the Public Law 94-171 and OFM’s adjusted 2020 figures,,,,,,,,,,,,,,,,,,,,,,,,
so users can compare the values. All estimates are based on OFM adjusted figures. See the SAEP User Guide for more information.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
County Name,State Code FIPS,County Code FIPS,Census Tract Code,Census Tract Code Complete,SAEP Version,Estimated Household Population 2010,Estimated Household Population 2011,Estimated Household Population 2012,Estimated Household Population 2013,Estimated Household Population 2014,Estimated Household Population 2015,Estimated Household Population 2016,Estimated Household Population 2017,Estimated Household Population 2018,Estimated Household Population 2019,2020 Census (P.L. 94-171) Household Population,OFM Adjusted Household Population 2020,Estimated Household Population 2021,Estimated Household Population 2022,Estimated Household Population 2023,Estimated Household Population 2024,Estimated Household Population 2025,Numeric Change in Household Population 2020 to 2025,Percent Change in Household Population 2020 to 2025
Adams,53,001,950100,53001950100,"October 3, 2025","2,388","2,421","2,430","2,428","2,429","2,434","2,459","2,460","2,490","2,492","2,487","2,487","2,495","2,498","2,503","2,505","2,503",16,0.66%
Adams,53,001,950200,53001950200,"October 3, 2025","1,738","1,723","1,728","1,734","1,724","1,704","1,685","1,686","1,670","1,661","1,655","1,655","1,729","1,735","1,733","1,844","1,858",203,12.24%
Adams,53,001,950301,53001950301,"October 3, 2025","1,720","1,728","1,734","1,740","1,756","1,761","1,768","1,776","1,769","1,762","1,742","1,742","1,767","1,778","1,794","1,819","1,831",89,5.11%
Adams,53,001,950302,53001950302,"October 3, 2025","2,259","2,312","2,322","2,358","2,387","2,419","2,455","2,507","2,561","2,622","2,599","2,599","2,598","2,591","2,590","2,581","2,572",-27,-1.04%
Adams,53,001,950303,53001950303,"October 3, 2025","2,916","2,931","2,974","3,007","3,018","3,007","3,024","3,051","3,066","3,081","3,034","3,034","3,039","3,031","3,036","3,042","3,038",4,0.13%
Adams,53,001,950400,53001950400,"October 3, 2025","2,793","2,783","2,814","2,781","2,763","2,724","2,791","2,757","2,715","2,739","2,808","2,808","2,846","2,898","2,966","2,998","3,093",285,10.13%
Adams,53,001,950500,53001950500,"October 3, 2025","4,753","4,758","4,809","4,898","4,997","5,144","5,184","5,520","5,627","5,646","5,946","5,946","6,089","6,218","6,238","6,340","6,297",351,5.90%
Asotin,53,003,960100,53003960100,"October 3, 2025","4,306","4,301","4,290","4,304","4,311","4,321","4,356","4,357","4,370","4,376","4,379","4,379","4,405","4,447","4,459","4,566","4,573",194,4.44%
Asotin,53,003,960200,53003960200,"October 3, 2025","4,438","4,477","4,483","4,494","4,508","4,551","4,595","4,633","4,699","4,722","4,772","4,772","4,903","4,943","4,969","4,947","4,961",189,3.97%
Asotin,53,003,960300,53003960300,"October 3, 2025","3,575","3,571","3,570","3,563","3,552","3,577","3,592","3,575","3,581","3,580","3,582","3,582","3,616","3,620","3,624","3,628","3,628",46,1.29%
