Estimates of Occupied Housing Units for Census Tracts,,,,,,,,,,,,,,,,,,,,,,,,
"Washington State Office of Financial Management, Small Area Estimate Program (SAEP)",,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,
By using these data the user agrees that the Washington State Office of Financial Management shall not be liable for any activity involving these data with regard to lost profits,,,,,,,,,,,,,,,,,,,,,,,,
"or savings or any other consequential damages; or the fitness for use of the data for a particular purpose; or the installation of the data, its use, or the results obtained.",,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates are approximations, use these data with caution. The estimates in these tables are typically presented for very small areas. To increase statistical stability,",,,,,,,,,,,,,,,,,,,,,,,,
"we recommend that users aggregate small area populations into larger geographic units of about 4,300 people, the size of the average census tract. Some changes",,,,,,,,,,,,,,,,,,,,,,,,
to the 2020 census data were made to ensure reliability. This table includes the 2020 census data from the Public Law 94-171 and OFM’s adjusted 2020 figures,,,,,,,,,,,,,,,,,,,,,,,,
so users can compare the values. All estimates are based on OFM adjusted figures. See the SAEP User Guide for more information.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
County Name,State Code FIPS,County Code FIPS,Census Tract Code,Census Tract Code Complete,SAEP Version,Estimated Occupied Housing Units 2010,Estimated Occupied Housing Units 2011,Estimated Occupied Housing Units 2012,Estimated Occupied Housing Units 2013,Estimated Occupied Housing Units 2014,Estimated Occupied Housing Units 2015,Estimated Occupied Housing Units 2016,Estimated Occupied Housing Units 2017,Estimated Occupied Housing Units 2018,Estimated Occupied Housing Units 2019,2020 Census (P.L. 94-171) Occupied Housing Units,OFM Adjusted Occupied Housing Units 2020,Estimated Occupied Housing Units 2021,Estimated Occupied Housing Units 2022,Estimated Occupied Housing Units 2023,Estimated Occupied Housing Units 2024,Estimated Occupied Housing Units 2025,Numeric Change in Occupied Housing Units 2020 to 2025,Percent Change in Occupied Housing Units 2020 to 2025
Adams,53,001,950100,53001950100,"October 3, 2025","1,041","1,046","1,053","1,051","1,049","1,045","1,048","1,045","1,059","1,063","1,053","1,053","1,054","1,055","1,056","1,058","1,057",4,0.40%
Adams,53,001,950200,53001950200,"October 3, 2025",699,691,690,690,683,677,668,664,648,647,645,645,668,668,668,692,695,50,7.68%
Adams,53,001,950301,53001950301,"October 3, 2025",498,496,497,498,499,503,507,505,503,502,494,494,500,504,507,516,518,24,4.89%
Adams,53,001,950302,53001950302,"October 3, 2025",550,563,566,575,582,594,607,618,634,654,649,649,648,646,646,646,641,-8,-1.19%
Adams,53,001,950303,53001950303,"October 3, 2025",751,753,767,777,779,781,790,794,800,809,797,797,798,795,797,801,797,0,0.01%
Adams,53,001,950400,53001950400,"October 3, 2025",884,887,894,886,885,868,882,878,868,868,890,890,899,913,933,954,969,79,8.86%
Adams,53,001,950500,53001950500,"October 3, 2025","1,297","1,311","1,329","1,361","1,397","1,438","1,454","1,566","1,604","1,605","1,700","1,700","1,739","1,775","1,783","1,833","1,797",97,5.71%
Asotin,53,003,960100,53003960100,"October 3, 2025","1,714","1,712","1,709","1,716","1,719","1,724","1,738","1,739","1,752","1,754","1,755","1,755","1,765","1,782","1,787","1,805","1,796",41,2.34%
Asotin,53,003,960200,53003960200,"October 3, 2025","1,935","1,950","1,951","1,953","1,953","1,972","1,987","1,999","2,029","2,035","2,055","2,055","2,110","2,122","2,132","2,158","2,145",90,4.37%
Asotin,53,003,960300,53003960300,"October 3, 2025","1,632","1,622","1,613","1,603","1,595","1,594","1,594","1,581","1,572","1,566","1,559","1,559","1,576","1,578","1,579","1,582","1,580",21,1.36%
Asotin,53,003,960400,53003960400,"October 3, 2025",917,921,923,925,931,932,935,945,951,955,959,959,960,958,956,962,953,-6,-0.61%
Asotin,53,003,960500,53003960500,"October 3, 2025","1,590","1,586","1,577","1,576","1,569","1,567","1,564","1,557","1,508","1,502","1,497","1,497","1,512","1,511","1,509","1,513","1,512",15,0.99%
Asotin,53,003,960600,53003960600,"October 3, 2025","1,448","1,453","1,459","1,464","1,471","1,479","1,481","1,483","1,499","1,511","1,524","1,524","1,524","1,535","1,538","1,562","1,550",26,1.72%
Benton,53,005,010100,53005010100,"October 3, 2025","1,811","1,810","1,807","1,812","1,811","1,805","1,807","1,813","1,903","1,924","1,918","1,918","1,917","1,975","1,979","2,101","2,096",178,9.31%
