Estimates of Total Housing Units for Census Tracts,,,,,,,,,,,,,,,,,,,,,,,,
"Washington State Office of Financial Management, Small Area Estimate Program (SAEP)",,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,
By using these data the user agrees that the Washington State Office of Financial Management shall not be liable for any activity involving these data with regard to lost profits,,,,,,,,,,,,,,,,,,,,,,,,
"or savings or any other consequential damages; or the fitness for use of the data for a particular purpose; or the installation of the data, its use, or the results obtained.",,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates are approximations, use these data with caution. The estimates in these tables are typically presented for very small areas. To increase statistical stability,",,,,,,,,,,,,,,,,,,,,,,,,
"we recommend that users aggregate small area populations into larger geographic units of about 4,300 people, the size of the average census tract. Some changes",,,,,,,,,,,,,,,,,,,,,,,,
to the 2020 census data were made to ensure reliability. This table includes the 2020 census data from the Public Law 94-171 and OFM’s adjusted 2020 figures,,,,,,,,,,,,,,,,,,,,,,,,
so users can compare the values. All estimates are based on OFM adjusted figures. See the SAEP User Guide for more information.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
County Name,State Code FIPS,County Code FIPS,Census Tract Code,Census Tract Code Complete,SAEP Version,Estimated Total Housing Units 2010,Estimated Total Housing Units 2011,Estimated Total Housing Units 2012,Estimated Total Housing Units 2013,Estimated Total Housing Units 2014,Estimated Total Housing Units 2015,Estimated Total Housing Units 2016,Estimated Total Housing Units 2017,Estimated Total Housing Units 2018,Estimated Total Housing Units 2019,2020 Census (P.L. 94-171) Total Housing Units,OFM Adjusted Total Housing Units 2020,Estimated Total Housing Units 2021,Estimated Total Housing Units 2022,Estimated Total Housing Units 2023,Estimated Total Housing Units 2024,Estimated Total Housing Units 2025,Numeric Change in Housing Units 2020 to 2025,Percent Change in Housing Units 2020 to 2025
Adams,53,001,950100,53001950100,"October 3, 2025","1,228","1,228","1,224","1,219","1,213","1,210","1,211","1,205","1,201","1,199","1,184","1,184","1,186","1,189","1,189","1,191","1,194",10,0.86%
Adams,53,001,950200,53001950200,"October 3, 2025",832,823,816,811,803,801,793,787,779,773,767,767,793,796,797,824,830,63,8.21%
Adams,53,001,950301,53001950301,"October 3, 2025",528,527,528,529,531,535,540,539,536,534,526,526,534,539,543,551,557,31,5.96%
Adams,53,001,950302,53001950302,"October 3, 2025",585,600,608,620,630,645,662,677,697,719,717,717,717,717,717,716,716,-1,-0.18%
Adams,53,001,950303,53001950303,"October 3, 2025",798,800,813,825,826,828,837,842,848,855,844,844,846,846,848,850,852,8,0.95%
Adams,53,001,950400,53001950400,"October 3, 2025",926,929,937,931,926,915,942,944,931,933,958,958,974,994,"1,021","1,030","1,069",111,11.60%
Adams,53,001,950500,53001950500,"October 3, 2025","1,344","1,355","1,368","1,399","1,429","1,471","1,494","1,616","1,643","1,646","1,739","1,739","1,795","1,840","1,859","1,887","1,891",152,8.72%
Asotin,53,003,960100,53003960100,"October 3, 2025","1,940","1,936","1,932","1,935","1,937","1,942","1,953","1,952","1,959","1,962","1,963","1,963","1,977","1,997","2,010","2,019","2,028",65,3.29%
Asotin,53,003,960200,53003960200,"October 3, 2025","2,026","2,044","2,048","2,051","2,055","2,077","2,094","2,107","2,130","2,142","2,164","2,164","2,230","2,246","2,265","2,281","2,292",128,5.91%
Asotin,53,003,960300,53003960300,"October 3, 2025","1,723","1,716","1,711","1,700","1,696","1,697","1,696","1,687","1,668","1,664","1,660","1,660","1,679","1,684","1,686","1,686","1,688",28,1.67%
Asotin,53,003,960400,53003960400,"October 3, 2025",971,976,979,982,990,994,"1,001","1,013","1,017","1,022","1,026","1,026","1,029","1,029","1,030","1,031","1,032",6,0.58%
Asotin,53,003,960500,53003960500,"October 3, 2025","1,682","1,678","1,675","1,669","1,664","1,663","1,659","1,653","1,617","1,613","1,611","1,611","1,628","1,628","1,629","1,630","1,631",20,1.24%
