Estimates of Total Population for Census Tracts,,,,,,,,,,,,,,,,,,,,,,,,
"Washington State Office of Financial Management, Small Area Estimate Program (SAEP)",,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,
By using these data the user agrees that the Washington State Office of Financial Management shall not be liable for any activity involving these data with regard to lost profits,,,,,,,,,,,,,,,,,,,,,,,,
"or savings or any other consequential damages; or the fitness for use of the data for a particular purpose; or the installation of the data, its use, or the results obtained.",,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates are approximations, use these data with caution. The estimates in these tables are typically presented for very small areas. To increase statistical stability,",,,,,,,,,,,,,,,,,,,,,,,,
"we recommend that users aggregate small area populations into larger geographic units of about 4,300 people, the size of the average census tract. Some changes",,,,,,,,,,,,,,,,,,,,,,,,
to the 2020 census data were made to ensure reliability. This table includes the 2020 census data from the Public Law 94-171 and OFM’s adjusted 2020 figures,,,,,,,,,,,,,,,,,,,,,,,,
so users can compare the values. All estimates are based on OFM adjusted figures. See the SAEP User Guide for more information.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
County Name,State Code FIPS,County Code FIPS,Census Tract Code,Census Tract Code Complete,SAEP Version,Estimated Total Population 2010,Estimated Total Population 2011,Estimated Total Population 2012,Estimated Total Population 2013,Estimated Total Population 2014,Estimated Total Population 2015,Estimated Total Population 2016,Estimated Total Population 2017,Estimated Total Population 2018,Estimated Total Population 2019,2020 Census (P.L. 94-171) Total Population,OFM Adjusted Total Population 2020,Estimated Total Population 2021,Estimated Total Population 2022,Estimated Total Population 2023,Estimated Total Population 2024,Estimated Total Population 2025,Numeric Change in Population 2020 to 2025,Percent Change in Population 2020 to 2025
Adams,53,001,950100,53001950100,"October 3, 2025","2,447","2,496","2,503","2,512","2,504","2,516","2,544","2,561","2,565","2,573","2,579","2,579","2,587","2,590","2,595","2,597","2,595",16,0.63%
Adams,53,001,950200,53001950200,"October 3, 2025","1,738","1,738","1,758","1,779","1,785","1,780","1,776","1,793","1,792","1,798","1,804","1,804","1,878","1,884","1,882","1,993","2,007",203,11.23%
Adams,53,001,950301,53001950301,"October 3, 2025","1,737","1,745","1,752","1,757","1,774","1,778","1,786","1,793","1,786","1,779","1,759","1,759","1,784","1,795","1,811","1,836","1,848",89,5.06%
Adams,53,001,950302,53001950302,"October 3, 2025","2,259","2,313","2,323","2,358","2,388","2,419","2,455","2,508","2,560","2,621","2,599","2,599","2,598","2,591","2,590","2,581","2,572",-27,-1.04%
Adams,53,001,950303,53001950303,"October 3, 2025","2,928","2,945","2,990","3,026","3,039","3,031","3,050","3,078","3,095","3,112","3,067","3,067","3,072","3,064","3,069","3,075","3,071",4,0.13%
Adams,53,001,950400,53001950400,"October 3, 2025","2,867","2,855","2,878","2,839","2,820","2,782","2,848","2,813","2,776","2,807","2,859","2,859","2,892","2,958","3,016","3,053","3,161",302,10.55%
Adams,53,001,950500,53001950500,"October 3, 2025","4,753","4,758","4,809","4,899","4,999","5,145","5,185","5,521","5,626","5,645","5,946","5,946","6,089","6,218","6,238","6,340","6,297",351,5.90%
Asotin,53,003,960100,53003960100,"October 3, 2025","4,306","4,302","4,292","4,308","4,318","4,328","4,364","4,366","4,380","4,387","4,392","4,392","4,418","4,460","4,472","4,579","4,586",194,4.43%
Asotin,53,003,960200,53003960200,"October 3, 2025","4,443","4,483","4,489","4,501","4,516","4,558","4,603","4,640","4,708","4,731","4,781","4,781","4,912","4,952","4,978","4,956","4,970",189,3.96%
Asotin,53,003,960300,53003960300,"October 3, 2025","3,622","3,617","3,615","3,605","3,594","3,617","3,630","3,611","3,616","3,614","3,614","3,614","3,648","3,652","3,656","3,660","3,660",46,1.28%
Asotin,53,003,960400,53003960400,"October 3, 2025","2,165","2,176","2,180","2,186","2,207","2,206","2,213","2,240","2,253","2,263","2,272","2,272","2,274","2,269","2,265","2,243","2,241",-31,-1.37%
Asotin,53,003,960500,53003960500,"October 3, 2025","3,582","3,566","3,562","3,562","3,564","3,566","3,566","3,551","3,477","3,474","3,476","3,476","3,494","3,491","3,493","3,506","3,506",30,0.85%
Asotin,53,003,960600,53003960600,"October 3, 2025","3,505","3,523","3,543","3,563","3,592","3,614","3,627","3,639","3,679","3,714","3,750","3,750","3,753","3,777","3,786","3,782","3,787",37,0.98%
Benton,53,005,010100,53005010100,"October 3, 2025","4,449","4,457","4,448","4,459","4,457","4,453","4,449","4,487","4,638","4,689","4,684","4,684","4,684","4,774","4,794","4,988","4,994",310,6.61%
Benton,53,005,010201,53005010201,"October 3, 2025","4,297","4,495","4,599","4,754","4,896","5,026","5,166","5,316","5,507","5,719","6,203","6,203","6,312","6,527","6,636","6,783","6,897",694,11.19%
Benton,53,005,010203,53005010203,"October 3, 2025","3,154","3,191","3,226","3,369","3,587","3,626","3,634","3,686","3,862","3,914","3,975","3,975","3,967","3,962","3,973","3,959","3,940",-35,-0.88%
Benton,53,005,010204,53005010204,"October 3, 2025","2,905","2,893","2,859","2,863","2,840","2,819","2,794","2,815","2,799","2,795","3,236","3,236","3,233","3,209","3,212","3,197","3,181",-55,-1.69%
Benton,53,005,010300,53005010300,"October 3, 2025","5,011","5,127","5,401","5,480","5,499","5,539","5,536","5,603","5,629","5,672","5,643","5,643","5,634","5,609","5,611","5,599","5,572",-71,-1.25%
Benton,53,005,010400,53005010400,"October 3, 2025","3,617","3,630","3,626","3,651","3,663","3,665","3,663","3,709","3,738","3,764","3,731","3,731","3,722","3,693","3,700","3,686","3,671",-60,-1.60%
Benton,53,005,010500,53005010500,"October 3, 2025","3,022","3,052","3,037","3,086","3,111","3,131","3,141","3,150","3,157","3,170","3,154","3,154","3,136","3,116","3,102","3,093","3,079",-75,-2.39%
Benton,53,005,010600,53005010600,"October 3, 2025","4,297","4,309","4,278","4,294","4,298","4,295","4,277","4,314","4,431","4,483","4,551","4,551","4,547","4,549","4,739","4,865","4,863",312,6.86%
Benton,53,005,010701,53005010701,"October 3, 2025","1,986","2,012","2,043","2,082","2,104","2,111","2,122","2,148","2,143","2,207","2,184","2,184","2,465","2,686","2,951","3,292","3,464","1,280",58.61%
Benton,53,005,010703,53005010703,"October 3, 2025","3,014","3,070","3,123","3,238","3,357","3,399","3,518","3,606","3,693","3,704","3,697","3,697","3,742","3,747","3,756","3,735","3,739",42,1.13%
Benton,53,005,010705,53005010705,"October 3, 2025","5,316","5,163","5,159","5,204","5,297","5,280","5,379","5,397","5,521","5,533","5,535","5,535","5,554","5,536","5,582","5,613","5,574",39,0.71%
Benton,53,005,010707,53005010707,"October 3, 2025","2,489","2,856","3,071","3,226","3,399","3,493","3,397","3,481","3,627","3,628","3,687","3,687","3,795","3,763","3,785","3,748","3,723",36,0.97%
Benton,53,005,010708,53005010708,"October 3, 2025","2,384","2,515","2,678","2,905","3,125","3,416","3,703","3,887","4,246","4,330","4,532","4,532","4,864","5,063","5,189","5,318","5,367",835,18.43%
Benton,53,005,010807,53005010807,"October 3, 2025","1,062","1,099","1,140","1,180","1,206","1,251","1,289","1,341","1,393","1,469","1,558","1,558","1,563","1,592","1,608","1,621","1,959",401,25.74%
Benton,53,005,010809,53005010809,"October 3, 2025","6,016","6,096","6,101","6,252","6,482","6,575","6,621","6,673","6,773","6,872","6,792","6,792","6,786","6,741","6,760","6,733","6,706",-86,-1.26%
Benton,53,005,010810,53005010810,"October 3, 2025","4,549","4,582","4,581","4,618","4,863","4,903","4,845","4,909","5,019","5,234","5,430","5,430","5,619","5,668","5,684","5,666","5,755",325,5.99%
