SERVICE_CHANGE_NUM,CHANGE_NUM,STOP_ID,STOP_SEQUENCE_NUM,DAY_PART_CD,SERVICE_RTE_NUM,EXPRESS_LOCAL_CD,INBD_OUTBD_CD,HOST_STREET_NM,CROSS_STREET_NM,STOP_PLACEMENT_CD,TRIP_COMPASS_DIR_CD,JURISDICTION_CD,OBSERVED_TRIPS_IDS,TOTAL_OBSERVATIONS,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
243,157,3600,1,AM,1,L,O,S Jackson St,12th Ave S,FS,N,SEA,13,1618,1.9,24.7,0,0,11.7
243,157,2010,1,AM,1,L,I,10th Ave W,W Armour St,NS,S,SEA,13,1546,1.2,15.1,0,0,1.2
243,157,1500,2,AM,1,L,O,S Jackson St,8th Ave S,NS,N,SEA,13,1614,0.9,11.9,0.2,3,12.4
243,157,2020,2,AM,1,L,I,10th Ave W,W Bothwell St,FS,S,SEA,13,1546,0.3,3.8,0.1,0.7,1.4
243,157,2030,3,AM,1,L,I,10th Ave W,W Halladay St,FS,S,SEA,13,1544,0.3,3.4,0,0.1,1.6
243,157,1510,3,AM,1,L,O,S Jackson St,Maynard Ave S,FS,N,SEA,13,1617,1,12.8,0.5,6.8,12.8
243,157,1530,4,AM,1,L,O,S Jackson St,5th Ave S,FS,N,SEA,16,1981,2.7,43,2.7,43.9,10.4
243,157,2050,4,AM,1,L,I,10th Ave W,W McGraw St,FS,S,SEA,13,1547,0.7,9.7,0,0,2.4
243,157,2060,5,AM,1,L,I,10th Ave W,W Crockett St,FS,S,SEA,13,1547,0.5,6.9,0,0,2.9
243,157,1610,5,AM,1,L,O,Prefontaine Pl S,Yesler Way,NS,N,SEA,16,1983,1,16.5,1.1,18.2,10.3
243,157,2070,6,AM,1,L,I,10th Ave W,W Howe St,FS,S,SEA,13,1547,1.6,20.7,0,0.1,4.5
243,157,538,6,AM,1,L,O,3rd Ave,Columbia St,NS,N,SEA,16,1982,0.5,8.7,1.8,28.3,9.1
243,157,2080,7,AM,1,L,I,10th Ave W,W Blaine St,FS,S,SEA,12,1428,0.3,3.7,0,0,4.9
243,157,558,7,AM,1,L,O,3rd Ave,Seneca St,NS,N,SEA,15,1856,1.6,24.7,2.1,30.8,8.4
243,157,2090,8,AM,1,L,I,10th Ave W,W Galer St,NS,S,SEA,12,1428,0.4,4.4,0,0,5.2
243,157,575,8,AM,1,L,O,3rd Ave,Pike St,NS,N,SEA,15,1855,1.5,22,2,30.1,7.9
243,157,2100,9,AM,1,L,I,Olympic Way W,W Lee St,FS,S,SEA,12,1428,0.2,2,0,0,5.4
243,157,600,9,AM,1,L,O,3rd Ave,Virginia St,FS,N,SEA,15,1858,1,14.4,1.9,28.2,6.9
243,157,2110,10,AM,1,L,I,Olympic Way W,9th Ave W,FS,S,SEA,12,1428,0.3,3,0,0,5.6
243,157,605,10,AM,1,L,O,3rd Ave,Bell St,FS,N,SEA,15,1859,0.5,7.8,1.1,16.4,6.4
243,157,2120,11,AM,1,L,I,W Olympic Pl,7th Ave W,FS,S,SEA,12,1428,0.8,9,0,0.1,6.4
243,157,1690,11,AM,1,L,O,3rd Ave,Vine St,FS,N,SEA,15,1858,0.2,2.3,1.4,21,5.1
243,157,2130,12,AM,1,L,I,W Olympic Pl,5th Ave W,NS,S,SEA,12,1428,0.3,3.4,0,0.1,6.7
243,157,2320,12,AM,1,L,O,1st Ave,Broad St,FS,N,SEA,15,1858,0,0.3,0.6,9.1,4.6
243,157,2330,13,AM,1,L,O,1st Ave N,Denny Way,FS,N,SEA,15,1859,0.1,2,1.4,20.6,3.3
243,157,2140,13,AM,1,L,I,W Olympic Pl,3rd Ave W,FS,S,SEA,12,1428,1.2,14.3,0,0.3,7.8
243,157,2360,14,AM,1,L,O,1st Ave N,Republican St,NS,N,SEA,15,1858,0.1,1.1,1.3,19.4,2.1
243,157,2150,14,AM,1,L,I,W Roy St,2nd Ave W,FS,S,SEA,12,1428,1.2,14.2,0.1,1,8.9
243,157,2370,15,AM,1,L,O,Mercer St,Queen Anne Ave N,NS,N,SEA,15,1857,0.1,0.8,0.9,13.2,1.3
243,157,2672,15,AM,1,L,I,Queen Anne Ave N,W Mercer St,FS,S,SEA,12,1428,2.6,31.7,1.4,16.6,10.2
243,157,2180,16,AM,1,L,I,Queen Anne Ave N,W Harrison St,FS,S,SEA,12,1428,0.9,10.2,0.2,2.2,10.9
243,157,2390,16,AM,1,L,O,2nd Ave W,W Roy St,FS,N,SEA,14,1732,0,0.3,0.2,2.2,1.1
243,157,2400,17,AM,1,L,O,W Olympic Pl,3rd Ave W,NS,N,SEA,14,1732,0,0,0.1,1.4,1
243,157,2200,17,AM,1,L,I,Queen Anne Ave N,W John St,FM,S,SEA,12,1428,1.3,15,0.3,3.4,11.8
243,157,2410,18,AM,1,L,O,W Olympic Pl,5th Ave W,NS,N,SEA,14,1730,0,0,0,0,1
243,157,2244,18,AM,1,L,I,Denny Way,2nd Ave,FS,S,SEA,12,1428,0.8,10,0.5,6.5,12.1
243,157,2220,19,AM,1,L,I,3rd Ave,Cedar St,FS,S,SEA,12,1428,0,0,1.1,12.6,11
243,157,2420,19,AM,1,L,O,W Olympic Pl,7th Ave W,FS,N,SEA,14,1732,0,0,0.1,0.8,0.9
243,157,2430,20,AM,1,L,O,Olympic Way W,W Prospect St,FS,N,SEA,14,1732,0,0,0,0.1,0.9
243,157,2440,21,AM,1,L,O,Olympic Way W,10th Ave W,NS,N,SEA,14,1732,0,0,0,0,0.9
243,157,2450,22,AM,1,L,O,10th Ave W,W Galer St,FS,N,SEA,14,1732,0,0,0,0,0.9
243,157,2460,23,AM,1,L,O,10th Ave W,W Blaine St,FS,N,SEA,14,1732,0,0,0,0.1,0.9
243,157,2470,24,AM,1,L,O,10th Ave W,W Howe St,FS,N,SEA,14,1732,0.1,0.9,0.1,1.5,0.9
243,157,2480,25,AM,1,L,O,10th Ave W,W Crockett St,FS,N,SEA,14,1731,0,0,0.1,0.8,0.8
243,157,2490,26,AM,1,L,O,10th Ave W,W McGraw St,FS,N,SEA,14,1732,0,0,0.1,0.8,0.7
243,157,2500,27,AM,1,L,O,10th Ave W,W Halladay St,FS,N,SEA,14,1732,0,0,0,0.4,0.7
243,157,2510,28,AM,1,L,O,10th Ave W,W Newell St,FS,N,SEA,14,1729,0,0,0,0.5,0.7
243,157,2520,29,AM,1,L,O,9th Ave W,W Armour St,FS,N,SEA,14,1720,0,0,0,0.3,0.6
243,157,2010,30,AM,1,L,O,10th Ave W,W Armour St,NS,N,SEA,14,1727,0,0,0.6,8.8,0
243,157,3600,1,MID,1,L,O,S Jackson St,12th Ave S,FS,N,SEA,24,2992,2.9,68.9,0,0,12.1
243,157,2010,1,MID,1,L,I,10th Ave W,W Armour St,NS,S,SEA,24,2835,1,23.6,0,0,1
243,157,1500,2,MID,1,L,O,S Jackson St,8th Ave S,NS,N,SEA,24,2972,1.5,35.8,1.1,25.9,12.5
243,157,2020,2,MID,1,L,I,10th Ave W,W Bothwell St,FS,S,SEA,24,2831,0.1,2.5,0,0.3,1.1
243,157,2030,3,MID,1,L,I,10th Ave W,W Halladay St,FS,S,SEA,24,2834,0.2,5.2,0,0.3,1.3
