SERVICE_CHANGE_NUM,CHANGE_NUM,STOP_ID,STOP_SEQUENCE_NUM,DAY_PART_CD,SERVICE_RTE_NUM,EXPRESS_LOCAL_CD,INBD_OUTBD_CD,HOST_STREET_NM,CROSS_STREET_NM,STOP_PLACEMENT_CD,TRIP_COMPASS_DIR_CD,JURISDICTION_CD,OBSERVED_TRIPS_IDS,TOTAL_OBSERVATIONS,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
251,158,2010,1,AM,1,L,I,10th Ave W,W Armour St,NS,S,SEA,13,1182,1.1,13.9,0,0.1,1.1
251,158,2020,2,AM,1,L,I,10th Ave W,W Bothwell St,FS,S,SEA,13,1181,0.3,4,0.2,2.1,1.2
251,158,2030,3,AM,1,L,I,10th Ave W,W Halladay St,FS,S,SEA,13,1180,0.2,2.4,0,0.3,1.4
251,158,2050,4,AM,1,L,I,10th Ave W,W McGraw St,FS,S,SEA,13,1182,0.4,5.8,0,0.1,1.8
251,158,2060,5,AM,1,L,I,10th Ave W,W Crockett St,FS,S,SEA,13,1182,0.4,4.8,0,0,2.2
251,158,2070,6,AM,1,L,I,10th Ave W,W Howe St,FS,S,SEA,13,1182,1.4,17.8,0,0.4,3.5
251,158,2080,7,AM,1,L,I,10th Ave W,W Blaine St,FS,S,SEA,13,1182,0.2,2.3,0,0.1,3.7
251,158,2090,8,AM,1,L,I,10th Ave W,W Galer St,NS,S,SEA,12,1091,0.3,3.2,0,0.1,4
251,158,2100,9,AM,1,L,I,Olympic Way W,W Lee St,FS,S,SEA,12,1091,0.2,1.9,0,0.1,4.1
251,158,2110,10,AM,1,L,I,Olympic Way W,9th Ave W,FS,S,SEA,12,1091,0.3,3.7,0,0.1,4.4
251,158,2120,11,AM,1,L,I,W Olympic Pl,7th Ave W,FS,S,SEA,12,1091,0.6,6.8,0,0.1,5
251,158,2130,12,AM,1,L,I,W Olympic Pl,5th Ave W,NS,S,SEA,12,1091,0.4,4.2,0,0.1,5.3
251,158,2140,13,AM,1,L,I,W Olympic Pl,3rd Ave W,FS,S,SEA,12,1091,0.9,10.5,0.1,0.9,6.1
251,158,2150,14,AM,1,L,I,W Roy St,2nd Ave W,FS,S,SEA,12,1091,0.8,9.5,0.2,2.7,6.7
251,158,2672,15,AM,1,L,I,Queen Anne Ave N,W Mercer St,FS,S,SEA,12,1091,1.8,21.8,3.8,45.9,4.6
251,158,2180,16,AM,1,L,I,Queen Anne Ave N,W Harrison St,FS,S,SEA,12,1091,0.5,6.5,0.8,9.5,4.4
251,158,2200,17,AM,1,L,I,Queen Anne Ave N,W John St,FM,S,SEA,12,1091,0.6,7,0.7,8.6,4.2
251,158,2244,18,AM,1,L,I,Denny Way,2nd Ave,FS,S,SEA,12,1088,0.5,6.3,1.8,21.2,3
251,158,2220,19,AM,1,L,I,3rd Ave,Cedar St,FS,S,SEA,12,1091,0,0.2,3,35.9,0
251,158,3600,1,AM,1,L,O,S Jackson St,12th Ave S,FS,N,SEA,13,1374,4.1,53.7,0,0,4.1
251,158,1500,2,AM,1,L,O,S Jackson St,8th Ave S,NS,N,SEA,13,1363,0.9,12.2,0.2,2.5,4.9
251,158,1510,3,AM,1,L,O,S Jackson St,Maynard Ave S,FS,N,SEA,13,1373,1.4,18.2,0.5,6.8,5.7
251,158,1530,4,AM,1,L,O,S Jackson St,5th Ave S,FS,N,SEA,16,1673,3.4,53.8,2.5,40,5.5
251,158,1610,5,AM,1,L,O,Prefontaine Pl S,Yesler Way,NS,N,SEA,16,1677,1.1,17.4,0.9,14.9,5.6
251,158,538,6,AM,1,L,O,3rd Ave,Columbia St,NS,N,SEA,16,1672,0.7,11.4,1.4,21.7,5
251,158,558,7,AM,1,L,O,3rd Ave,Seneca St,NS,N,SEA,16,1673,1.9,30.1,1.8,29.2,5
251,158,575,8,AM,1,L,O,3rd Ave,Pike St,NS,N,SEA,15,1567,2.3,34.1,1.7,25.9,5.5
251,158,600,9,AM,1,L,O,3rd Ave,Virginia St,FS,N,SEA,15,1570,1.4,21.1,1.6,24,5.3
251,158,605,10,AM,1,L,O,3rd Ave,Bell St,FS,N,SEA,15,1570,0.7,10.1,0.9,13,5.1
251,158,1690,11,AM,1,L,O,3rd Ave,Vine St,FS,N,SEA,15,1570,0.3,3.8,1.3,20.2,4
251,158,2320,12,AM,1,L,O,1st Ave,Broad St,FS,N,SEA,15,1571,0.1,1.2,0.5,8.1,3.6
251,158,2330,13,AM,1,L,O,1st Ave N,Denny Way,FS,N,SEA,15,1571,0.3,4.5,1,15.3,2.8
251,158,2360,14,AM,1,L,O,1st Ave N,Republican St,NS,N,SEA,15,1571,0.1,2.1,1.2,17.6,1.8
251,158,2370,15,AM,1,L,O,Mercer St,Queen Anne Ave N,NS,N,SEA,14,1467,0.1,1.6,0.7,9.6,1.2
251,158,2390,16,AM,1,L,O,2nd Ave W,W Roy St,FS,N,SEA,14,1467,0,0.6,0.1,1.2,1.2
251,158,2400,17,AM,1,L,O,W Olympic Pl,3rd Ave W,NS,N,SEA,14,1467,0,0.2,0.1,1.1,1.2
251,158,2410,18,AM,1,L,O,W Olympic Pl,5th Ave W,NS,N,SEA,14,1467,0,0,0,0,1.2
251,158,2420,19,AM,1,L,O,W Olympic Pl,7th Ave W,FS,N,SEA,14,1466,0,0,0.1,1.2,1.1
251,158,2430,20,AM,1,L,O,Olympic Way W,W Prospect St,FS,N,SEA,14,1467,0,0,0,0,1.1
251,158,2440,21,AM,1,L,O,Olympic Way W,10th Ave W,NS,N,SEA,14,1466,0,0,0,0,1.1
251,158,2450,22,AM,1,L,O,10th Ave W,W Galer St,FS,N,SEA,14,1467,0,0,0,0,1.1
251,158,2460,23,AM,1,L,O,10th Ave W,W Blaine St,FS,N,SEA,14,1467,0,0,0,0.1,1.1
251,158,2470,24,AM,1,L,O,10th Ave W,W Howe St,FS,N,SEA,14,1467,0.1,1.1,0.2,2.1,1
251,158,2480,25,AM,1,L,O,10th Ave W,W Crockett St,FS,N,SEA,14,1467,0,0,0,0.2,1
251,158,2490,26,AM,1,L,O,10th Ave W,W McGraw St,FS,N,SEA,14,1467,0,0,0.1,0.8,0.9
251,158,2500,27,AM,1,L,O,10th Ave W,W Halladay St,FS,N,SEA,14,1467,0,0,0,0.6,0.9
251,158,2510,28,AM,1,L,O,10th Ave W,W Newell St,FS,N,SEA,14,1460,0,0.1,0.1,0.7,0.8
251,158,2520,29,AM,1,L,O,9th Ave W,W Armour St,FS,N,SEA,14,1442,0,0.2,0,0.3,0.8
251,158,2010,30,AM,1,L,O,10th Ave W,W Armour St,NS,N,SEA,14,1459,0,0,0.8,11.2,0
251,158,2010,1,MID,1,L,I,10th Ave W,W Armour St,NS,S,SEA,24,2011,1,23.6,0,0.1,1
251,158,2020,2,MID,1,L,I,10th Ave W,W Bothwell St,FS,S,SEA,24,2012,0.1,3.4,0.1,2.5,1
251,158,2030,3,MID,1,L,I,10th Ave W,W Halladay St,FS,S,SEA,24,2010,0.2,4.3,0,1,1.2
251,158,2050,4,MID,1,L,I,10th Ave W,W McGraw St,FS,S,SEA,24,2012,0.2,5.4,0,0.3,1.3
251,158,2060,5,MID,1,L,I,10th Ave W,W Crockett St,FS,S,SEA,23,1923,0.2,3.6,0,0.3,1.5
251,158,2070,6,MID,1,L,I,10th Ave W,W Howe St,FS,S,SEA,23,1923,0.4,9.5,0,0.7,1.9
251,158,2080,7,MID,1,L,I,10th Ave W,W Blaine St,FS,S,SEA,23,1923,0.2,3.5,0,0.1,2
251,158,2090,8,MID,1,L,I,10th Ave W,W Galer St,NS,S,SEA,24,2014,0.2,4.5,0,0.2,2.3
251,158,2100,9,MID,1,L,I,Olympic Way W,W Lee St,FS,S,SEA,24,2014,0.2,3.8,0,0.1,2.4
251,158,2110,10,MID,1,L,I,Olympic Way W,9th Ave W,FS,S,SEA,24,2014,0.2,3.9,0,0.2,2.5
251,158,2120,11,MID,1,L,I,W Olympic Pl,7th Ave W,FS,S,SEA,24,2014,0.3,6.4,0,0.6,2.8
251,158,2130,12,MID,1,L,I,W Olympic Pl,5th Ave W,NS,S,SEA,24,2014,0.1,3.5,0,0.3,2.9
251,158,2140,13,MID,1,L,I,W Olympic Pl,3rd Ave W,FS,S,SEA,24,2014,0.4,9.9,0.2,4.8,3.1
251,158,2150,14,MID,1,L,I,W Roy St,2nd Ave W,FS,S,SEA,24,2014,0.3,8.3,0.2,5.9,3.2
251,158,2672,15,MID,1,L,I,Queen Anne Ave N,W Mercer St,FS,S,SEA,24,2014,2.2,51.9,2.5,60.6,2.9
251,158,2180,16,MID,1,L,I,Queen Anne Ave N,W Harrison St,FS,S,SEA,24,2014,0.5,12.9,0.5,12.1,2.9
251,158,2200,17,MID,1,L,I,Queen Anne Ave N,W John St,FM,S,SEA,24,2014,0.6,13.4,0.7,16.7,2.8
251,158,2244,18,MID,1,L,I,Denny Way,2nd Ave,FS,S,SEA,24,2014,0.6,13.2,1.1,27.5,2.2
251,158,2220,19,MID,1,L,I,3rd Ave,Cedar St,FS,S,SEA,24,2012,0,0,2.2,52.5,0
251,158,3600,1,MID,1,L,O,S Jackson St,12th Ave S,FS,N,SEA,24,2549,4.6,111.3,0,0,4.6
251,158,1500,2,MID,1,L,O,S Jackson St,8th Ave S,NS,N,SEA,24,2540,1.4,32.4,0.8,19.8,5.2
251,158,1510,3,MID,1,L,O,S Jackson St,Maynard Ave S,FS,N,SEA,24,2548,2,46.9,1.6,38.3,5.5
251,158,1530,4,MID,1,L,O,S Jackson St,5th Ave S,FS,N,SEA,24,2554,4.3,102.4,3.6,86.5,6.2
251,158,1610,5,MID,1,L,O,Prefontaine Pl S,Yesler Way,NS,N,SEA,24,2554,1.4,34.2,1.2,28.8,6.4
251,158,538,6,MID,1,L,O,3rd Ave,Columbia St,NS,N,SEA,24,2554,1.4,34.6,1.2,29.4,6.6
251,158,558,7,MID,1,L,O,3rd Ave,Seneca St,NS,N,SEA,23,2443,2,46.3,1.4,32.4,7.2
251,158,575,8,MID,1,L,O,3rd Ave,Pike St,NS,N,SEA,24,2547,4,95,3.6,86.7,7.5
251,158,600,9,MID,1,L,O,3rd Ave,Virginia St,FS,N,SEA,24,2552,2.3,55.9,2.2,52,7.7
