service_id,date,exception_type
58042,20250101,2
58042,20250312,1
58042,20250212,1
58042,20250219,1
58042,20250205,1
58042,20250129,1
58042,20250115,1
58042,20250122,1
58042,20250326,1
58042,20250108,1
58042,20250305,1
58042,20250319,1
58042,20250226,1
56112,20250120,2
56112,20250217,2
56112,20250113,1
56112,20250324,1
56112,20250106,1
56112,20250310,1
56112,20250303,1
56112,20250317,1
56112,20241230,1
56112,20250224,1
56112,20250210,1
56112,20250203,1
56112,20250127,1
56112,20250101,2
56112,20250312,1
56112,20250212,1
56112,20250219,1
56112,20250205,1
56112,20250129,1
56112,20250115,1
56112,20250122,1
56112,20250326,1
56112,20250108,1
56112,20250305,1
56112,20250319,1
56112,20250226,1
50424,20250120,2
50424,20250217,2
50424,20250113,1
50424,20250324,1
50424,20250106,1
50424,20250310,1
50424,20250303,1
50424,20250317,1
50424,20250224,1
50424,20250210,1
50424,20250203,1
50424,20250127,1
47337,20250120,2
47337,20250217,2
47337,20250113,1
47337,20250324,1
47337,20250106,1
47337,20250310,1
47337,20250303,1
47337,20250317,1
47337,20250224,1
47337,20250210,1
47337,20250203,1
47337,20250127,1
47337,20250213,2
47337,20250306,1
47337,20250320,1
47337,20250227,1
47337,20250313,1
47337,20250220,1
47337,20250206,1
47337,20250130,1
47337,20250116,1
47337,20250123,1
47337,20250327,1
47337,20250109,1
47337,20250307,2
47337,20250214,2
47337,20250117,1
47337,20250124,1
47337,20250328,1
47337,20250110,1
47337,20250321,1
47337,20250228,1
47337,20250314,1
47337,20250221,1
47337,20250207,1
47337,20250131,1
46851,20250120,2
46851,20250217,2
46851,20250113,1
46851,20250324,1
46851,20250106,1
46851,20250310,1
46851,20250303,1
46851,20250317,1
46851,20250224,1
46851,20250210,1
46851,20250203,1
46851,20250127,1
46851,20250218,2
46851,20250204,1
46851,20250128,1
46851,20250114,1
46851,20250121,1
46851,20250325,1
46851,20250107,1
46851,20250304,1
46851,20250318,1
46851,20250225,1
46851,20250311,1
46851,20250211,1
46851,20250219,2
46851,20250312,1
46851,20250212,1
46851,20250205,1
46851,20250129,1
46851,20250115,1
46851,20250122,1
46851,20250326,1
46851,20250108,1
46851,20250305,1
46851,20250319,1
46851,20250226,1
46851,20250220,2
46851,20250306,1
46851,20250320,1
46851,20250227,1
46851,20250313,1
46851,20250213,1
46851,20250206,1
46851,20250130,1
46851,20250116,1
46851,20250123,1
46851,20250327,1
46851,20250109,1
46851,20250221,2
46851,20250117,1
46851,20250124,1
46851,20250328,1
46851,20250110,1
46851,20250307,1
46851,20250321,1
46851,20250228,1
46851,20250314,1
46851,20250207,1
46851,20250214,1
46851,20250131,1
45470,20250120,2
45470,20250217,2
45470,20250113,1
45470,20250324,1
45470,20250106,1
45470,20250310,1
45470,20250303,1
45470,20250317,1
45470,20250224,1
45470,20250210,1
45470,20250203,1
45470,20250127,1
45470,20250121,2
45470,20250218,2
45470,20250204,1
45470,20250128,1
45470,20250114,1
45470,20250325,1
45470,20250107,1
45470,20250304,1
45470,20250318,1
45470,20250225,1
45470,20250311,1
45470,20250211,1
45470,20250219,2
45470,20250312,1
45470,20250212,1
45470,20250205,1
45470,20250129,1
45470,20250115,1
45470,20250122,1
45470,20250326,1
45470,20250108,1
45470,20250305,1
45470,20250319,1
45470,20250226,1
45470,20250220,2
45470,20250306,1
45470,20250320,1
45470,20250227,1
45470,20250313,1
45470,20250213,1
45470,20250206,1
45470,20250130,1
45470,20250116,1
45470,20250123,1
45470,20250327,1
45470,20250109,1
45470,20250307,2
45470,20250221,2
45470,20250117,1
45470,20250124,1
45470,20250110,1
45470,20250321,1
45470,20250228,1
45470,20250314,1
45470,20250207,1
45470,20250214,1
45470,20250131,1
37278,20250120,2
37278,20250217,2
37278,20250113,1
37278,20250324,1
37278,20250106,1
37278,20250310,1
37278,20250303,1
37278,20250317,1
37278,20250224,1
37278,20250210,1
37278,20250203,1
37278,20250127,1
37278,20250218,2
37278,20250204,1
37278,20250128,1
37278,20250114,1
37278,20250121,1
37278,20250325,1
37278,20250107,1
37278,20250304,1
37278,20250318,1
37278,20250225,1
37278,20250311,1
37278,20250211,1
37278,20250220,2
37278,20250306,1
37278,20250320,1
37278,20250227,1
37278,20250313,1
37278,20250213,1
37278,20250206,1
37278,20250130,1
37278,20250116,1
37278,20250123,1
37278,20250327,1
37278,20250109,1
37278,20250221,2
37278,20250117,1
37278,20250124,1
37278,20250328,1
37278,20250110,1
37278,20250307,1
37278,20250321,1
37278,20250228,1
37278,20250314,1
37278,20250207,1
37278,20250214,1
37278,20250131,1
36918,20250120,2
36918,20250217,2
36918,20250113,1
36918,20250324,1
36918,20250106,1
36918,20250310,1
36918,20250303,1
36918,20250317,1
36918,20250224,1
36918,20250210,1
36918,20250203,1
36918,20250127,1
36918,20250213,2
36918,20250306,1
36918,20250320,1
36918,20250227,1
36918,20250313,1
36918,20250220,1
36918,20250206,1
36918,20250130,1
36918,20250116,1
36918,20250123,1
36918,20250327,1
36918,20250109,1
36918,20250307,2
36918,20250214,2
36918,20250117,1
36918,20250124,1
36918,20250328,1
36918,20250110,1
36918,20250321,1
36918,20250228,1
36918,20250314,1
36918,20250221,1
36918,20250207,1
36918,20250131,1
16843,20250113,2
16843,20250106,2
16843,20250310,2
16843,20250303,2
16843,20250317,2
16843,20250224,2
16843,20250210,2
16843,20250203,2
16843,20250127,2
16843,20250120,1
16843,20250217,1
16843,20250312,2
16843,20250212,2
16843,20250219,2
16843,20250205,2
16843,20250129,2
16843,20250115,2
16843,20250122,2
16843,20250108,2
16843,20250305,2
16843,20250319,2
16843,20250226,2
16843,20250101,1
16506,20250113,2
16506,20250106,2
16506,20250310,2
16506,20250303,2
16506,20250317,2
16506,20250224,2
16506,20250210,2
16506,20250203,2
16506,20250127,2
16506,20250120,1
16506,20250217,1
15436,20250113,2
15436,20250324,2
15436,20250310,2
15436,20250303,2
15436,20250317,2
15436,20250224,2
15436,20250210,2
15436,20250203,2
15436,20250127,2
15436,20250120,1
15436,20250217,1
15436,20250306,2
15436,20250320,2
15436,20250227,2
15436,20250313,2
15436,20250220,2
15436,20250206,2
15436,20250130,2
15436,20250116,2
15436,20250123,2
15436,20250109,2
15436,20250213,1
15436,20250117,2
15436,20250124,2
15436,20250110,2
15436,20250321,2
15436,20250228,2
15436,20250314,2
15436,20250221,2
15436,20250207,2
15436,20250131,2
15436,20250214,1
15436,20250307,1
14913,20250312,2
14913,20250212,2
14913,20250219,2
14913,20250205,2
14913,20250129,2
14913,20250115,2
14913,20250122,2
14913,20250108,2
14913,20250305,2
14913,20250319,2
14913,20250226,2
14913,20250101,1
14724,20250113,2
14724,20250106,2
14724,20250310,2
14724,20250303,2
14724,20250317,2
14724,20250224,2
14724,20250210,2
14724,20250203,2
14724,20250127,2
14724,20250120,1
14724,20250217,1
9573,20250219,2
9573,20250312,1
9573,20250212,1
9573,20250205,1
9573,20250129,1
9573,20250115,1
9573,20250122,1
9573,20250326,1
9573,20250108,1
9573,20250305,1
9573,20250319,1
9573,20250226,1
6884,20250324,2
6884,20250310,2
6884,20250303,2
6884,20250317,2
6884,20250224,2
6884,20250210,2
6884,20250203,2
6884,20250127,2
6884,20250120,1
6884,20250217,1
6884,20250204,2
6884,20250128,2
6884,20250325,2
6884,20250304,2
6884,20250318,2
6884,20250225,2
6884,20250311,2
6884,20250211,2
6884,20250121,1
6884,20250218,1
6884,20250312,2
6884,20250212,2
6884,20250205,2
6884,20250129,2
6884,20250122,2
6884,20250326,2
6884,20250305,2
6884,20250319,2
6884,20250226,2
6884,20250219,1
6884,20250306,2
6884,20250320,2
6884,20250227,2
6884,20250313,2
6884,20250213,2
6884,20250206,2
6884,20250130,2
6884,20250123,2
6884,20250327,2
6884,20250220,1
6884,20250124,2
6884,20250321,2
6884,20250228,2
6884,20250314,2
6884,20250207,2
6884,20250214,2
6884,20250131,2
6884,20250221,1
6884,20250307,1
6884,20250328,1
5503,20250203,2
5503,20250127,2
5503,20250210,2
5503,20250120,1
5503,20250217,1
5503,20250121,2
5503,20250211,2
5503,20250204,2
5503,20250128,2
5503,20250218,1
5503,20250212,2
5503,20250205,2
5503,20250129,2
5503,20250122,2
5503,20250219,1
5503,20250123,2
5503,20250213,2
5503,20250206,2
5503,20250130,2
5503,20250220,1
5503,20250214,2
5503,20250207,2
5503,20250131,2
5503,20250124,2
5503,20250221,1
5017,20250203,2
5017,20250127,2
5017,20250303,2
5017,20250224,2
5017,20250210,2
5017,20250120,1
5017,20250217,1
5017,20250306,2
5017,20250123,2
5017,20250227,2
5017,20250220,2
5017,20250206,2
5017,20250130,2
5017,20250213,1
5017,20250221,2
5017,20250207,2
5017,20250131,2
5017,20250124,2
5017,20250228,2
5017,20250214,1
5017,20250307,1
