SERVICE_CHANGE_NUM,CHANGE_NUM,STOP_ID,STOP_SEQUENCE_NUM,DAY_PART_CD,SERVICE_RTE_NUM,EXPRESS_LOCAL_CD,INBD_OUTBD_CD,HOST_STREET_NM,CROSS_STREET_NM,STOP_PLACEMENT_CD,TRIP_COMPASS_DIR_CD,JURISDICTION_CD,OBSERVED_TRIPS_IDS,TOTAL_OBSERVATIONS,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
241,156,2010,1,AM,1,L,I,10th Ave W,W Armour St,NS,S,SEA,13,1411,1.4,17.8,0,0,1.4
241,156,2010,1,MID,1,L,I,10th Ave W,W Armour St,NS,S,SEA,24,2609,1.3,31.4,0,0,1.3
241,156,2010,1,PM,1,L,I,10th Ave W,W Armour St,NS,S,SEA,17,1853,1.4,24.3,0,0,1.5
241,156,2010,1,XEV,1,L,I,10th Ave W,W Armour St,NS,S,SEA,8,871,1.2,9.2,0,0,1.2
241,156,2010,1,XNT,1,L,I,10th Ave W,W Armour St,NS,S,SEA,5,547,0.9,4.7,0,0,0.9
241,156,2020,2,AM,1,L,I,10th Ave W,W Bothwell St,FS,S,SEA,13,1411,0.3,3.4,0,0.2,1.6
241,156,2020,2,MID,1,L,I,10th Ave W,W Bothwell St,FS,S,SEA,24,2608,0.1,3.4,0,0.3,1.4
241,156,2020,2,PM,1,L,I,10th Ave W,W Bothwell St,FS,S,SEA,17,1853,0.1,2.3,0,0.3,1.5
241,156,2020,2,XEV,1,L,I,10th Ave W,W Bothwell St,FS,S,SEA,8,870,0.1,0.5,0,0.3,1.2
241,156,2020,2,XNT,1,L,I,10th Ave W,W Bothwell St,FS,S,SEA,5,547,0,0,0,0,0.9
241,156,2030,3,AM,1,L,I,10th Ave W,W Halladay St,FS,S,SEA,13,1410,0.3,4.4,0,0,1.9
241,156,2030,3,MID,1,L,I,10th Ave W,W Halladay St,FS,S,SEA,24,2604,0.2,5.1,0,0.1,1.6
241,156,2030,3,PM,1,L,I,10th Ave W,W Halladay St,FS,S,SEA,17,1854,0.1,1.9,0,0.1,1.6
241,156,2030,3,XEV,1,L,I,10th Ave W,W Halladay St,FS,S,SEA,8,871,0.1,0.5,0,0,1.2
241,156,2030,3,XNT,1,L,I,10th Ave W,W Halladay St,FS,S,SEA,5,547,0,0,0,0,0.9
241,156,2050,4,AM,1,L,I,10th Ave W,W McGraw St,FS,S,SEA,13,1411,0.6,7.6,0,0,2.5
241,156,2050,4,MID,1,L,I,10th Ave W,W McGraw St,FS,S,SEA,24,2604,0.2,5.5,0,0,1.8
241,156,2050,4,PM,1,L,I,10th Ave W,W McGraw St,FS,S,SEA,17,1855,0.2,3.3,0,0,1.8
241,156,2050,4,XEV,1,L,I,10th Ave W,W McGraw St,FS,S,SEA,8,871,0.1,0.4,0,0,1.3
