abbr,state,revenue
CA,California,220.59
NY,New York,125.19
TX,Texas,86.78
IL,Illinois,62.99
FL,Florida,61.9
PA,Pennsylvania,55.07
NJ,New Jersey,51.67
MA,Massachusetts,41.6
NC,North Carolina,38.94
OH,Ohio,38.75
WA,Washington,38.03
MI,Michigan,37.13
VA,Virginia,37.12
MN,Minnesota,34.47
GA,Georgia,33.7
IN,Indiana,30.32
MD,Maryland,29.69
TN,Tennessee,23.82
WI,Wisconsin,23.75
AZ,Arizona,23.36
CT,Connecticut,21.89
OR,Oregon,20.88
CO,Colorado,18.13
MO,Missouri,17.36
KY,Kentucky,17.22
AL,Alabama,16.71
SC,South Carolina,15.65
LA,Lousiana,15.5
NM,New Mexico,14.27
NV,Nevada,14.18
OK,Oklahoma,13.84
UT,Utah,13.49
KS,Kansas,13.14
IA,Iowa,12.97
AR,Arkansas,12.76
DC,District of Columbia,10.34
MS,Mississippi,10.33
HI,Hawaii,10.19
WV,West Virginia,7.64
ID,Idaho,7.38
NE,Nebraska,7.33
DE,Delaware,6.56
ME,Maine,6.44
ND,North Dakota,6.05
RI,Rhode Island,4.74
MT,Montana,4.71
VT,Vermont,4.5
NH,New Hampshire,3.55
WY,Wyoming,3.35
AK,Alaska,3.27
SD,South Dakota,2.63
