COMMON NAME,SCIENTIFIC NAME,CONSERVATION STATUS,LAND/WATER,ANIMAL CLASS
African forest elephant,,Critically Endangered,Land,Mammal
Amur Leopard,Panthera pardus orientalis,Critically Endangered,Land,Mammal
Black Rhino,Diceros bicornis,Critically Endangered,Land,Mammal
Bornean Orangutan,Pongo pygmaeus,Critically Endangered,Land,Mammal
Cross River Gorilla,Gorilla gorilla diehli,Critically Endangered,Land,Mammal
Eastern Lowland Gorilla,Gorilla beringei graueri,Critically Endangered,Land,Mammal
Hawksbill Turtle,Eretmochelys imbricata,Critically Endangered,Water,Reptile
Javan Rhino,Rhinoceros sondaicus,Critically Endangered,Land,Mammal
Orangutan,"Pongo abelii, Pongo pygmaeus",Critically Endangered,Land,Mammal
Saola,Pseudoryx nghetinhensis,Critically Endangered,Land,Mammal
Sumatran Elephant,Elephas maximus sumatranus,Critically Endangered,Land,Mammal
Sumatran Orangutan,Pongo abelii,Critically Endangered,Land,Mammal
Sumatran Rhino,Dicerorhinus sumatrensis,Critically Endangered,Land,Mammal
Sunda Tiger,Panthera tigris sondaica,Critically Endangered,Land,Mammal
Vaquita,Phocoena sinus,Critically Endangered,Water,Mammal
Western Lowland Gorilla,Gorilla gorilla gorilla,Critically Endangered,Land,Mammal
Yangtze Finless Porpoise,Neophocaena asiaeorientalis ssp. asiaeorientalis,Critically Endangered,Water,Mammal
African savanna elephant,Loxodonta africana africana,Endangered,Land,Mammal
African Wild Dog,Lycaon pictus,Endangered,Land,Mammal
Asian Elephant,Elephas maximus indicus,Endangered,Land,Mammal
Black-footed Ferret,Mustela nigripes,Endangered,Land,Mammal
Blue Whale,Balaenoptera musculus,Endangered,Water,Mammal
Bluefin Tuna,Thunnus Thynnus,Endangered,Water,Fish
Bonobo,Pan paniscus,Endangered,Land,Mammal
Bornean Elephant,Elephas maximus borneensis,Endangered,Land,Mammal
Chimpanzee,Pan troglodytes,Endangered,Land,Mammal
Fin Whale,Balaenoptera physalus,Endangered,Water,Mammal
Galápagos Penguin,Spheniscus mendiculus,Endangered,Water,Bird
Ganges River Dolphin,Platanista gangetica gangetica,Endangered,Water,Mammal
Green Turtle,Chelonia mydas,Endangered,Water,Reptile
